26:24.4	40.39529	116.2883	35.67246	9.512655	69.92922	6	北京市       	北京市县      	怀柔县       
26:30.5	40.314	116.1237	74.33315	7.735482	69.96031	6	北京市       	北京市县      	延庆县       
26:31.7	40.19046	116.1494	42.24113	9.164178	70.00712	6	北京市       	北京市县      	昌平县       
27:13.5	39.9021	116.2342	71.36787	16.31266	70.11673	6	北京市       	北京市市辖区    	北京市市辖区    
27:18.9	40.57955	116.355	42.66904	5.20156	69.85905	6	北京市       	北京市县      	延庆县       
27:20.4	41.00099	116.2918	128.5714	12.01251	222.5295	6	河北省       	承德市       	丰宁满族自治县   
27:24.6	41.83257	116.2335	38.51151	4.694736	0	5	河北省       	承德市       	丰宁满族自治县   
27:56.7	40.29635	116.1169	84.54221	7.262686	69.96709	6	北京市       	北京市县      	昌平县       
28:22.6	41.34998	116.2616	-54.16195	-6.796794	69.56332	6	河北省       	承德市       	丰宁满族自治县   
28:22.9	40.87526	116.6451	96.37029	8.27879	42.06569	6	北京市       	北京市县      	怀柔县       
28:29.4	40.04308	115.0255	-32.64859	-4.542412	70.06342	6	河北省       	张家口市      	涿鹿县       
28:59.9	39.95022	116.2264	62.54725	13.56957	70.09845	6	北京市       	北京市市辖区    	北京市市辖区    
29:15.7	41.3537	116.3303	-34.30849	-5.047686	0.0949949	6	河北省       	承德市       	丰宁满族自治县   
29:38.2	40.14222	116.0797	79.62553	9.706731	70.02568	6	北京市       	北京市县      	昌平县       
29:43.5	40.71341	116.3722	39.99591	7.999183	0	5	北京市       	北京市县      	延庆县       
29:44.8	41.56635	116.3415	-36.63961	-6.796913	0	6	河北省       	承德市       	丰宁满族自治县   
29:47.4	42.14344	116.325	229.7144	15.98013	69.25656	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
30:09.8	42.14029	116.8113	-34.20288	-6.080512	0	5	内蒙古自治区    	锡林郭勒盟     	多伦县       
30:09.8	42.17039	116.806	-28.42676	-5.597885	0	5	河北省       	承德市       	围场满族蒙古族自治县
30:29.6	40.1972	116.1679	71.09513	11.66689	70.00467	6	北京市       	北京市县      	昌平县       
30:44.2	39.90354	116.2188	37.3835	6.73956	70.11634	6	北京市       	北京市市辖区    	北京市市辖区    
30:46.6	40.60478	116.3669	54.27769	6.61671	166.8971	6	北京市       	北京市县      	延庆县       
